"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.budget.gouv.fr/46.105.199.81","443","INFO","HTTP","",""
"pre_128cipher","www.budget.gouv.fr/46.105.199.81","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.budget.gouv.fr/46.105.199.81","443","OK","not offered","",""
"SSLv3","www.budget.gouv.fr/46.105.199.81","443","OK","not offered","",""
"TLS1","www.budget.gouv.fr/46.105.199.81","443","LOW","offered (deprecated)","",""
"TLS1_1","www.budget.gouv.fr/46.105.199.81","443","LOW","offered (deprecated)","",""
"TLS1_2","www.budget.gouv.fr/46.105.199.81","443","OK","offered","",""
"TLS1_3","www.budget.gouv.fr/46.105.199.81","443","OK","offered with final","",""
"ALPN_HTTP2","www.budget.gouv.fr/46.105.199.81","443","OK","h2","",""
"cipherlist_NULL","www.budget.gouv.fr/46.105.199.81","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.budget.gouv.fr/46.105.199.81","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.budget.gouv.fr/46.105.199.81","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.budget.gouv.fr/46.105.199.81","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.budget.gouv.fr/46.105.199.81","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.budget.gouv.fr/46.105.199.81","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.budget.gouv.fr/46.105.199.81","443","OK","offered","",""
"cipherlist_STRONG_FS","www.budget.gouv.fr/46.105.199.81","443","OK","offered","",""
"cipher_order-tls1","www.budget.gouv.fr/46.105.199.81","443","OK","server","",""
"cipherorder_TLSv1","www.budget.gouv.fr/46.105.199.81","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","www.budget.gouv.fr/46.105.199.81","443","OK","server","",""
"cipherorder_TLSv1_1","www.budget.gouv.fr/46.105.199.81","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","www.budget.gouv.fr/46.105.199.81","443","OK","server","",""
"cipherorder_TLSv1_2","www.budget.gouv.fr/46.105.199.81","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.budget.gouv.fr/46.105.199.81","443","OK","server","",""
"FS","www.budget.gouv.fr/46.105.199.81","443","OK","offered","",""
"FS_ciphers","www.budget.gouv.fr/46.105.199.81","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.budget.gouv.fr/46.105.199.81","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.budget.gouv.fr/46.105.199.81","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.budget.gouv.fr/46.105.199.81","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.budget.gouv.fr/46.105.199.81","443","INFO","yes","",""
"sessionresumption_ticket","www.budget.gouv.fr/46.105.199.81","443","INFO","not supported","",""
"sessionresumption_ID","www.budget.gouv.fr/46.105.199.81","443","INFO","not supported","",""
"TLS_timestamp","www.budget.gouv.fr/46.105.199.81","443","INFO","random","",""
"certificate_compression","www.budget.gouv.fr/46.105.199.81","443","INFO","none","",""
"clientAuth","www.budget.gouv.fr/46.105.199.81","443","INFO","none","",""
"cert_numbers","www.budget.gouv.fr/46.105.199.81","443","INFO","1","",""
"cert_signatureAlgorithm","www.budget.gouv.fr/46.105.199.81","443","OK","SHA256 with RSA","",""
"cert_keySize","www.budget.gouv.fr/46.105.199.81","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.budget.gouv.fr/46.105.199.81","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.budget.gouv.fr/46.105.199.81","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.budget.gouv.fr/46.105.199.81","443","INFO","E0367BB3B6ED24480AA7AD384B67C67D","",""
"cert_serialNumberLen","www.budget.gouv.fr/46.105.199.81","443","INFO","16","",""
"cert_fingerprintSHA1","www.budget.gouv.fr/46.105.199.81","443","INFO","2E59D8D95CB5AB9A378B441C08A358A08F096512","",""
"cert_fingerprintSHA256","www.budget.gouv.fr/46.105.199.81","443","INFO","784AE033275D9757BB599038515707A19512B6A2EA7E95D5632810A60B2BEFD3","",""
