"id","fqdn/ip","port","severity","finding","cve","cwe"
"engine_problem","www.entreprises.gouv.fr/","443","WARN","No engine or GOST support via engine with your /home/testssl/bin/openssl.Linux.x86_64","",""
"service","www.entreprises.gouv.fr/46.105.198.220","443","INFO","HTTP","",""
"pre_128cipher","www.entreprises.gouv.fr/46.105.198.220","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.entreprises.gouv.fr/46.105.198.220","443","OK","not offered","",""
"SSLv3","www.entreprises.gouv.fr/46.105.198.220","443","OK","not offered","",""
"TLS1","www.entreprises.gouv.fr/46.105.198.220","443","LOW","offered (deprecated)","",""
"TLS1_1","www.entreprises.gouv.fr/46.105.198.220","443","LOW","offered (deprecated)","",""
"TLS1_2","www.entreprises.gouv.fr/46.105.198.220","443","OK","offered","",""
"TLS1_3","www.entreprises.gouv.fr/46.105.198.220","443","OK","offered with final","",""
"ALPN_HTTP2","www.entreprises.gouv.fr/46.105.198.220","443","OK","h2","",""
"cipherlist_NULL","www.entreprises.gouv.fr/46.105.198.220","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.entreprises.gouv.fr/46.105.198.220","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.entreprises.gouv.fr/46.105.198.220","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.entreprises.gouv.fr/46.105.198.220","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.entreprises.gouv.fr/46.105.198.220","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.entreprises.gouv.fr/46.105.198.220","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.entreprises.gouv.fr/46.105.198.220","443","OK","offered","",""
"cipherlist_STRONG_FS","www.entreprises.gouv.fr/46.105.198.220","443","OK","offered","",""
"cipher_order-tls1","www.entreprises.gouv.fr/46.105.198.220","443","OK","server","",""
"cipherorder_TLSv1","www.entreprises.gouv.fr/46.105.198.220","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","www.entreprises.gouv.fr/46.105.198.220","443","OK","server","",""
"cipherorder_TLSv1_1","www.entreprises.gouv.fr/46.105.198.220","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","www.entreprises.gouv.fr/46.105.198.220","443","OK","server","",""
"cipherorder_TLSv1_2","www.entreprises.gouv.fr/46.105.198.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.entreprises.gouv.fr/46.105.198.220","443","OK","server","",""
"FS","www.entreprises.gouv.fr/46.105.198.220","443","OK","offered","",""
"FS_ciphers","www.entreprises.gouv.fr/46.105.198.220","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.entreprises.gouv.fr/46.105.198.220","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.entreprises.gouv.fr/46.105.198.220","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.entreprises.gouv.fr/46.105.198.220","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.entreprises.gouv.fr/46.105.198.220","443","INFO","yes","",""
"sessionresumption_ticket","www.entreprises.gouv.fr/46.105.198.220","443","INFO","not supported","",""
"sessionresumption_ID","www.entreprises.gouv.fr/46.105.198.220","443","INFO","not supported","",""
"TLS_timestamp","www.entreprises.gouv.fr/46.105.198.220","443","INFO","random","",""
"certificate_compression","www.entreprises.gouv.fr/46.105.198.220","443","INFO","none","",""
"clientAuth","www.entreprises.gouv.fr/46.105.198.220","443","INFO","none","",""
"cert_numbers","www.entreprises.gouv.fr/46.105.198.220","443","INFO","1","",""
"cert_signatureAlgorithm","www.entreprises.gouv.fr/46.105.198.220","443","OK","SHA256 with RSA","",""
"cert_keySize","www.entreprises.gouv.fr/46.105.198.220","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.entreprises.gouv.fr/46.105.198.220","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.entreprises.gouv.fr/46.105.198.220","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.entreprises.gouv.fr/46.105.198.220","443","INFO","0652979F4494918E2DFD5E29D9186E13","",""
"cert_serialNumberLen","www.entreprises.gouv.fr/46.105.198.220","443","INFO","16","",""
"cert_fingerprintSHA1","www.entreprises.gouv.fr/46.105.198.220","443","INFO","12E229067F94258BD2D0C90B98E73C4A5AD7DDB0","",""
"cert_fingerprintSHA256","www.entreprises.gouv.fr/46.105.198.220","443","INFO","2413CE5A663C14F4607E055C40907AEDF74E8DE69C4479C1D18438800FA6FB9D","",""
