"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.modernisation.gouv.fr/80.87.236.17","443","INFO","HTTP","",""
"pre_128cipher","www.modernisation.gouv.fr/80.87.236.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.modernisation.gouv.fr/80.87.236.17","443","OK","not offered","",""
"SSLv3","www.modernisation.gouv.fr/80.87.236.17","443","OK","not offered","",""
"TLS1","www.modernisation.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_1","www.modernisation.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_2","www.modernisation.gouv.fr/80.87.236.17","443","OK","offered","",""
"TLS1_3","www.modernisation.gouv.fr/80.87.236.17","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.modernisation.gouv.fr/80.87.236.17","443","INFO","http/1.1","",""
"cipherlist_NULL","www.modernisation.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.modernisation.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.modernisation.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.modernisation.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.modernisation.gouv.fr/80.87.236.17","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.modernisation.gouv.fr/80.87.236.17","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.modernisation.gouv.fr/80.87.236.17","443","OK","offered","",""
"cipherlist_STRONG","www.modernisation.gouv.fr/80.87.236.17","443","OK","offered","",""
"cipherorder_TLSv1_2","www.modernisation.gouv.fr/80.87.236.17","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.modernisation.gouv.fr/80.87.236.17","443","OK","server","",""
"protocol_negotiated","www.modernisation.gouv.fr/80.87.236.17","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.modernisation.gouv.fr/80.87.236.17","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"FS","www.modernisation.gouv.fr/80.87.236.17","443","OK","offered","",""
