"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cnnumerique.fr/80.87.236.14","443","INFO","HTTP","",""
"pre_128cipher","cnnumerique.fr/80.87.236.14","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cnnumerique.fr/80.87.236.14","443","OK","not offered","",""
"SSLv3","cnnumerique.fr/80.87.236.14","443","OK","not offered","",""
"TLS1","cnnumerique.fr/80.87.236.14","443","INFO","not offered","",""
"TLS1_1","cnnumerique.fr/80.87.236.14","443","INFO","not offered","",""
"TLS1_2","cnnumerique.fr/80.87.236.14","443","OK","offered","",""
"TLS1_3","cnnumerique.fr/80.87.236.14","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","cnnumerique.fr/80.87.236.14","443","INFO","http/1.1","",""
"cipherlist_NULL","cnnumerique.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cnnumerique.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cnnumerique.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cnnumerique.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cnnumerique.fr/80.87.236.14","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","cnnumerique.fr/80.87.236.14","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","cnnumerique.fr/80.87.236.14","443","INFO","not offered","",""
"cipherlist_STRONG","cnnumerique.fr/80.87.236.14","443","OK","offered","",""
"cipher-tls1_2_xc030","cnnumerique.fr/80.87.236.14","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","cnnumerique.fr/80.87.236.14","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","cnnumerique.fr/80.87.236.14","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","cnnumerique.fr/80.87.236.14","443","HIGH","NOT a cipher order configured","",""
"protocol_negotiated","cnnumerique.fr/80.87.236.14","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","cnnumerique.fr/80.87.236.14","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 521 bit ECDH (P-521)  (limited sense as client will pick)","",""
"FS","cnnumerique.fr/80.87.236.14","443","OK","offered","",""
"FS_ciphers","cnnumerique.fr/80.87.236.14","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","cnnumerique.fr/80.87.236.14","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","cnnumerique.fr/80.87.236.14","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","cnnumerique.fr/80.87.236.14","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","cnnumerique.fr/80.87.236.14","443","INFO","yes","",""
"sessionresumption_ticket","cnnumerique.fr/80.87.236.14","443","INFO","not supported","",""
"sessionresumption_ID","cnnumerique.fr/80.87.236.14","443","INFO","not supported","",""
"TLS_timestamp","cnnumerique.fr/80.87.236.14","443","INFO","random","",""
"cert_compression","cnnumerique.fr/80.87.236.14","443","INFO","N/A","",""
"clientAuth","cnnumerique.fr/80.87.236.14","443","INFO","none","",""
"cert_numbers","cnnumerique.fr/80.87.236.14","443","INFO","1","",""
"cert_signatureAlgorithm","cnnumerique.fr/80.87.236.14","443","OK","SHA256 with RSA","",""
"cert_keySize","cnnumerique.fr/80.87.236.14","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","cnnumerique.fr/80.87.236.14","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cnnumerique.fr/80.87.236.14","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","cnnumerique.fr/80.87.236.14","443","INFO","27459289A28B299138F46704F771F053","",""
"cert_serialNumberLen","cnnumerique.fr/80.87.236.14","443","INFO","16","",""
"cert_fingerprintSHA1","cnnumerique.fr/80.87.236.14","443","INFO","549679860E9BD097E4647226ABABAEF32A7AC818","",""
